INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	采药(等级1)	2500	10000	0	0	1500	1	空	0	0
2	采药(等级2)	5000	14739	0	0	5800	1	空	0	0
3	采药(等级3)	10000	21724	0	0	14200	20	空	0	0
4	采药(等级4)	20000	32021	0	0	28100	20	空	0	0
5	采药(等级5)	40000	47197	0	0	49200	50	空	0	0
6	采药(等级6)	80000	69565	0	0	79700	50	空	0	0
7	采药(等级7)	160000	102535	0	0	122700	50	空	0	0
8	采药(等级8)	320000	151130	0	0	183500	50	空	0	0
9	采药(等级9)	640000	222757	0	0	283500	50	空	0	0
10	采药(等级10)	1280000	328329	0	0	283500	50	空	0	0
