INT	INT	INT	STRING	STRING	FLOAT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT
1	0	0	npc_anqi_zd		15	all_bj0000		身体受击点	0	0	-1	-1	月落西山	1
2	0	0	g01_zd_huanpeiguihun		15	g01_zdo_huanpeiguihun		身体受击点	0	0	-1	-1	环佩归魂	1
3	2	0			15	g01_zdo_tiesuohengjiang	Skills\Wd\Wd_三环套月.wav	身体受击点	0	0	-1	-1	铁索横江	1
6	1	0	g01_zd_baihongguanri		15	g01_zdo_baihongguanri		脚下光圈点	0	0	-1	-1	白虹贯日	1
7	0	0	g01_zd_dakuixing		15	all_bj07		身体受击点	0	0	-1	-1	大魁星	1
8	0	0	g01_zd_danfengchaoyang		15	g01_dl_zdo_shaozejian		身体受击点	0	0	-1	-1	丹凤朝阳	1
9	0	0	g01_zd_gaotanma		15	all_bj06		身体受击点	0	0	-1	-1	高探马	1
10	0	0	g01_zd_haoyueqianli		15	g01_zdo_huanpeiguihun		身体受击点	0	0	-1	-1	皓月千里	1
11	0	0	g01_zd_huifengbiliu		15	g01_dl_zdo_yiyangzhi		身体受击点	0	0	-1	-1	回风拂柳	1
13	0	0	g01_zd_kuaihuosan		15	all_bj06		身体受击点	0	0	-1	-1	快活三	1
14	1	0			15				0	0	-1	-1	揽雀尾	1
15	0	0	g01_zd_lanshadu		15	g01_zdo_lanshadu		身体受击点	0	0	-1	-1	蓝砂毒	1
16	0	0	g01_zd_lvshuangbingzhi	Skills\Common\bullet_fly_by2.wav	15	all_bj04	Skills\Xy\Xy_潇湘夜雨.wav	身体受击点	0	0	-1	-1	履霜冰至	1
18	0	0	g01_zd_sanhuantaoyue		15	all_bj06		身体受击点	0	0	-1	-1	三环套月	1
19	0	0	秘籍_xy_zd		15	秘籍_xy_zdo		身体受击点	0	0	-1	-1	鲲跃北溟	1
20	0	0	g01_zd_shaungfengguaner		15	g01_zdo_shuangfengguaner		身体受击点	0	0	-1	-1	双峰灌耳	1
22	0	0	g01_zd_tuonidaishui		15	g01_zdo_tuonidaishui		身体受击点	0	0	-1	-1	拖泥带水	1
23	0	0	g01_zd_wangyangxingtan		15	all_bj06		身体受击点	0	0	-1	-1	望洋兴叹	1
