INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
ID	RaceID	ModelFile	ShowName$1$	MaterialName	消耗物品ID	消耗物品数量	是否在初始时可选(0表示游戏中，初始时都不可选，1表示只有初始时可选，2表示只有在游戏中可选，3表示游戏中，初始时都可选)	头像的图标	消耗金钱
#女脸型									
1	0	女主角脸01.mesh	美艳型	女主角脸01	30008020	1	3	Cloth8_8	50000
2	0	女主角脸02.mesh	智慧型	女主角脸02	30008020	1	3	Cloth8_8	50000
3	0	女主角脸03.mesh	开朗型	女主角脸03	30008020	1	3	Cloth8_8	50000
4	0	女主角脸04.mesh	高贵型	女主角脸04	30008020	1	3	Cloth8_8	50000
5	0	女主角脸05.mesh	淑女型	女主角脸05	30008020	1	3	Cloth8_8	50000
6	0	女主角脸06.mesh	魅惑型	女主角脸06	30008020	1	2	Cloth8_8	50000
7	0	女主角脸07.mesh	脸谱	女主角脸07	30008020	1	2	Cloth8_8	50000
8	0	女主角脸08.mesh	沧桑型	女主角脸08	30008020	1	2	Cloth8_8	50000
9	0	女主角脸09.mesh	朦胧型	女主角脸09	30008020	1	2	Cloth8_8	50000
10	0	女主角脸10.mesh	狂野型	女主角脸10	30008020	1	2	Cloth8_8	50000
11	0	女主角脸11.mesh	恃傲型	女主角脸11	30008020	1	2	Cloth8_8	50000
12	0	女主角脸16.mesh	深邃型	女主角脸16	30008020	1	2	Cloth8_8	50000
13	0	女主角脸12.mesh	灵媚型	女主角脸12	30008020	1	2	Cloth8_8	50000
14	0	女主角脸20.mesh	清雅型	女主角脸20	30008020	1	2	Cloth8_8	50000
15	0	女主角脸25.mesh	风尘型	女主角脸25	30008020	1	2	Cloth8_8	50000
16	0	女主角脸29.mesh	倾云型	女主角脸29	30008020	1	2	Cloth8_8	50000
17	0	女主角脸30.mesh	灵动型	女主角脸30	30008020	1	2	Cloth8_8	50000
18	0	女主角脸32.mesh	纹眉型	女主角脸32	30008020	1	2	Cloth8_8	50000
19	0	女主角脸高贵120312_1.mesh	风逸型	女主角脸高贵120312_1	30008020	1	2	Cloth8_8	50000
20	0	女主角脸35.mesh	妖媚型	女主角脸35	30008020	1	2	Cloth8_8	50000
21	0	女主角脸40.mesh	忆痕型	女主角脸40	30008020	1	2	Cloth8_8	50000
22	0	女主角脸43.mesh	魅影型	女主角脸43	30008020	1	2	Cloth8_8	50000
23	0	女主角脸44.mesh	眉影型	女主角脸44	30008020	1	2	Cloth8_8	50000
24	0	女主角脸80.mesh	白眉型	女主角脸80	30008020	1	2	Cloth8_8	50000
25	0	女主角脸81.mesh	灵眸型	女主角脸81	30008020	1	2	Cloth8_8	50000
26	0	女主角脸82.mesh	雅趣型	女主角脸82	30008020	1	2	Cloth8_8	50000
27	0	女主角脸84.mesh	银眸型	女主角脸84	30008020	1	2	Cloth8_8	50000
28	0	女主角脸86.mesh	凛人型	女主角脸86	30008020	1	2	Cloth8_8	50000
29	0	女主角脸89.mesh	闲情型	女主角脸89	30008020	1	2	Cloth8_8	50000
30	0	女主角脸85.mesh	蓝眸型	女主角脸85	30008020	1	2	Cloth8_8	50000
31	0	女主角脸91.mesh	尔雅型	女主角脸91	30008020	1	2	Cloth8_8	50000
32	0	女主角脸92.mesh	妖冶型	女主角脸92	30008020	1	2	Cloth8_8	50000
33	0	女主角脸93.mesh	雅望型	女主角脸93	30008020	1	2	Cloth8_8	50000
34	0	女主角脸95.mesh	儒侠型	女主角脸95	30008020	1	2	Cloth8_8	50000
35	0	女主角脸99.mesh	沉郁型	女主角脸99	30008020	1	2	Cloth8_8	50000
36	0	女主角脸101.mesh	逸尘型	女主角脸101	30008020	1	2	Cloth8_8	50000
37	0	女主角脸102.mesh	迷眸型	女主角脸102	30008020	1	2	Cloth8_8	50000
38	0	女主角脸仙风.mesh	仙风型	女主角脸仙风	30008020	1	2	Cloth8_8	50000
39	0	女主角脸100.mesh	韶容型	女主角脸100	30008020	1	2	Cloth8_8	50000
40	0	女主角脸105.mesh	点绣型	女主角脸105	30008020	1	2	Cloth8_8	50000
41	0	女主角脸106.mesh	雅颂型	女主角脸106	30008020	1	2	Cloth8_8	50000
42	0	女主角脸冰雪.mesh	颜型	女主角脸冰雪	30008020	1	2	Cloth8_8	50000
43	0	女主角脸107.mesh	昭华型	女主角脸107	30008020	1	2	Cloth8_8	50000
44	0	女主角脸七夕.mesh	卿苑型	女主角脸七夕	30008020	1	2	Cloth8_8	50000
45	0	女主角脸108.mesh	靡颜型	女主角脸108	30008020	1	2	Cloth8_8	50000
46	0	女主角脸龙凤.mesh	含章型	女主角脸龙凤	30008020	1	2	Cloth8_8	50000
47	0	女主角脸瑞鹤B.mesh	瑶光型	女主角脸瑞鹤B	30008020	1	2	Cloth8_8	50000
48	0	女主角脸瑞鹤图高级.mesh	明光型	女主角脸瑞鹤图高级	30008020	1	2	Cloth8_8	50000
49	0	女主角脸红男绿女.mesh	思凡型	女主角脸红男绿女	30008020	1	2	Cloth8_8	50000
50	0	女主角脸七夕白头丛竹图.mesh	思情型	女主角脸七夕白头丛竹图	30008020	1	2	Cloth8_8	50000
51	0	女主角脸型191008神秘主题.mesh	刺楚型	女主角脸型191008神秘主题	30008020	1	2	Cloth8_8	50000
52	0	女主角脸型瑞雪红梅.mesh	温雪型	女主角脸型瑞雪红梅	30008020	1	2	Cloth8_8	50000
53	0	女主角脸型李师师.mesh	西洲型	女主角脸型李师师	30008020	1	2	Cloth8_8	50000
54	0	女主角脸型鲤鱼套装.mesh	绯盛型	女主角脸型鲤鱼套装	30008020	1	2	Cloth8_8	50000
									
#男脸型									
100	1	男主角脸01.mesh	坚强型	男主角脸01	30008020	1	3	Cloth8_8	50000
101	1	男主角脸02.mesh	勇敢型	男主角脸02	30008020	1	3	Cloth8_8	50000
102	1	男主角脸03.mesh	果断型	男主角脸03	30008020	1	3	Cloth8_8	50000
103	1	男主角脸04.mesh	自信型	男主角脸04	30008020	1	3	Cloth8_8	50000
104	1	男主角脸05.mesh	忧郁型	男主角脸05	30008020	1	3	Cloth8_8	50000
105	1	男主角脸06.mesh	魅惑型	男主角脸06	30008020	1	2	Cloth8_8	50000
106	1	男主角脸07.mesh	脸谱	男主角脸07	30008020	1	2	Cloth8_8	50000
107	1	男主角脸08.mesh	沧桑型	男主角脸08	30008020	1	2	Cloth8_8	50000
108	1	男主角脸09.mesh	朦胧型	男主角脸09	30008020	1	2	Cloth8_8	50000
109	1	男主角脸10.mesh	狂野型	男主角脸10	30008020	1	2	Cloth8_8	50000
110	1	男主角脸11.mesh	恃傲型	男主角脸11	30008020	1	2	Cloth8_8	50000
111	1	男主角脸14.mesh	深邃型	男主角脸14	30008020	1	2	Cloth8_8	50000
112	1	男主角脸12.mesh	灵媚型	男主角脸12	30008020	1	2	Cloth8_8	50000
113	1	男主角脸18.mesh	清雅型	男主角脸18	30008020	1	2	Cloth8_8	50000
114	1	男主角脸25.mesh	风尘型	男主角脸25	30008020	1	2	Cloth8_8	50000
115	1	男主角脸27.mesh	倾云型	男主角脸27	30008020	1	2	Cloth8_8	50000
116	1	男主角脸26.mesh	灵动型	男主角脸26	30008020	1	2	Cloth8_8	50000
117	1	男主角脸29.mesh	纹眉型	男主角脸29	30008020	1	2	Cloth8_8	50000
118	1	男主角脸自信120312_1.mesh	风逸型	男主角脸自信120312_1	30008020	1	2	Cloth8_8	50000
119	1	男主角脸31.mesh	妖媚型	男主角脸31	30008020	1	2	Cloth8_8	50000
120	1	男主角脸34.mesh	忆痕型	男主角脸34	30008020	1	2	Cloth8_8	50000
121	1	男主角脸37.mesh	魅影型	男主角脸37	30008020	1	2	Cloth8_8	50000
122	1	男主角脸39.mesh	眉影型	男主角脸39	30008020	1	2	Cloth8_8	50000
123	1	男主角脸80.mesh	白眉型	男主角脸80	30008020	1	2	Cloth8_8	50000
124	1	男主角脸81.mesh	灵眸型	男主角脸81	30008020	1	2	Cloth8_8	50000
125	1	男主角脸82.mesh	雅趣型	男主角脸82	30008020	1	2	Cloth8_8	50000
126	1	男主角脸84.mesh	银眸型	男主角脸84	30008020	1	2	Cloth8_8	50000
127	1	男主角脸86.mesh	凛人型	男主角脸86	30008020	1	2	Cloth8_8	50000
128	1	男主角脸89.mesh	闲情型	男主角脸89	30008020	1	2	Cloth8_8	50000
129	1	男主角脸85.mesh	蓝眸型	男主角脸85	30008020	1	2	Cloth8_8	50000
130	1	男主角脸91.mesh	尔雅型	男主角脸91	30008020	1	2	Cloth8_8	50000
131	1	男主角脸92.mesh	妖冶型	男主角脸92	30008020	1	2	Cloth8_8	50000
132	1	男主角脸93.mesh	雅望型	男主角脸93	30008020	1	2	Cloth8_8	50000
133	1	男主角脸95.mesh	儒侠型	男主角脸95	30008020	1	2	Cloth8_8	50000
134	1	男主角脸99.mesh	沉郁型	男主角脸99	30008020	1	2	Cloth8_8	50000
135	1	男主角脸101.mesh	逸尘型	男主角脸101	30008020	1	2	Cloth8_8	50000
136	1	男主角脸102.mesh	迷眸型	男主角脸102	30008020	1	2	Cloth8_8	50000
137	1	男主角脸仙风.mesh	仙风型	男主角脸仙风	30008020	1	2	Cloth8_8	50000
138	1	男主角脸100.mesh	韶容型	男主角脸100	30008020	1	2	Cloth8_8	50000
139	1	男主角脸105.mesh	点绣型	男主角脸105	30008020	1	2	Cloth8_8	50000
140	1	男主角脸106.mesh	雅颂型	男主角脸106	30008020	1	2	Cloth8_8	50000
141	1	男主角脸冰雪.mesh	异颜型	男主角脸冰雪	30008020	1	2	Cloth8_8	50000
142	1	男主角脸107.mesh	昭华型	男主角脸107	30008020	1	2	Cloth8_8	50000
143	1	男主角脸七夕.mesh	卿苑型	男主角脸七夕	30008020	1	2	Cloth8_8	50000
144	1	男主角脸108.mesh	靡颜型	男主角脸108	30008020	1	2	Cloth8_8	50000
145	1	男主角脸龙凤.mesh	含章型	男主角脸龙凤	30008020	1	2	Cloth8_8	50000
146	1	男主角脸瑞鹤B.mesh	瑶光型	男主角脸瑞鹤B	30008020	1	2	Cloth8_8	50000
147	1	男主角脸瑞鹤图高级.mesh	明光型	男主角脸瑞鹤图高级	30008020	1	2	Cloth8_8	50000
148	1	男主角脸红男绿女.mesh	思凡型	男主角脸红男绿女	30008020	1	2	Cloth8_8	50000
149	1	男主角脸七夕白头丛竹图.mesh	思情型	男主角脸七夕白头丛竹图	30008020	1	2	Cloth8_8	50000
150	1	男主角脸型191008神秘主题.mesh	刺楚型	男主角脸型191008神秘主题	30008020	1	2	Cloth8_8	50000
151	1	男主角脸型瑞雪红梅.mesh	温雪型	男主角脸型瑞雪红梅	30008020	1	2	Cloth8_8	50000
152	1	男主角脸型李师师.mesh	西洲型	男主角脸型李师师	30008020	1	2	Cloth8_8	50000
153	1	男主角脸型鲤鱼套装.mesh	绯盛型	男主角脸型鲤鱼套装	30008020	1	2	Cloth8_8	50000
									
#初始脸型									
10001	0	女主角脸高模01.mesh	美艳型	女主角脸高模01	30008020	1	-1	Cloth8_8	50000
10002	0	女主角脸高模02.mesh	智慧型	女主角脸高模02	30008020	1	-1	Cloth8_8	50000
10003	0	女主角脸高模03.mesh	开朗型	女主角脸高模03	30008020	1	-1	Cloth8_8	50000
10004	0	女主角脸高模04.mesh	高贵型	女主角脸高模04	30008020	1	-1	Cloth8_8	50000
10005	0	女主角脸高模05.mesh	淑女型	女主角脸高模05	30008020	1	-1	Cloth8_8	50000
10100	1	男主角高模脸05.mesh	坚强型	男主角高模脸05	30008020	1	-1	Cloth8_8	50000
10101	1	男主角高模脸04.mesh	勇敢型	男主角高模脸04	30008020	1	-1	Cloth8_8	50000
10102	1	男主角高模脸03.mesh	果断型	男主角高模脸03	30008020	1	-1	Cloth8_8	50000
10103	1	男主角高模脸02.mesh	自信型	男主角高模脸02	30008020	1	-1	Cloth8_8	50000
10104	1	男主角高模脸06.mesh	忧郁型	男主角高模脸06	30008020	1	-1	Cloth8_8	50000
