INT	INT	INT	STRING	INT	INT	INT
Index	有效期(小时)	传输颜色	附加属性描述$1$	是否显示	元宝交易类型:0可元宝交易，1不可元宝交易，2即可元宝交易也可金币交易	卖店是否获得交子，1获得交子，0获得金币
						
10200016	-1	-1	-1		2	0
10200017	-1	-1	-1		2	0
10200018	-1	-1	-1		2	0
10200019	-1	-1	-1		2	0
10200020	-1	-1	-1		2	0
10201016	-1	-1	-1		2	0
10201017	-1	-1	-1		2	0
10201018	-1	-1	-1		2	0
10201019	-1	-1	-1		2	0
10201020	-1	-1	-1		2	0
10202016	-1	-1	-1		2	0
10202017	-1	-1	-1		2	0
10202018	-1	-1	-1		2	0
10202019	-1	-1	-1		2	0
10202020	-1	-1	-1		2	0
10203016	-1	-1	-1		2	0
10203017	-1	-1	-1		2	0
10203018	-1	-1	-1		2	0
10203019	-1	-1	-1		2	0
10203020	-1	-1	-1		2	0
10204016	-1	-1	-1		2	0
10204017	-1	-1	-1		2	0
10204018	-1	-1	-1		2	0
10204019	-1	-1	-1		2	0
10204020	-1	-1	-1		2	0
10205016	-1	-1	-1		2	0
10205017	-1	-1	-1		2	0
10205018	-1	-1	-1		2	0
10205019	-1	-1	-1		2	0
10205020	-1	-1	-1		2	0
10210014	-1	-1	-1		2	0
10210016	-1	-1	-1		2	0
10210018	-1	-1	-1		2	0
10210020	-1	-1	-1		2	0
10210034	-1	-1	-1		2	0
10210036	-1	-1	-1		2	0
10210038	-1	-1	-1		2	0
10210040	-1	-1	-1		2	0
10210054	-1	-1	-1		2	0
10210056	-1	-1	-1		2	0
10210058	-1	-1	-1		2	0
10210060	-1	-1	-1		2	0
10211014	-1	-1	-1		2	0
10211016	-1	-1	-1		2	0
10211018	-1	-1	-1		2	0
10211020	-1	-1	-1		2	0
10211034	-1	-1	-1		2	0
10211036	-1	-1	-1		2	0
10211038	-1	-1	-1		2	0
10211040	-1	-1	-1		2	0
10211054	-1	-1	-1		2	0
10211056	-1	-1	-1		2	0
10211058	-1	-1	-1		2	0
10211060	-1	-1	-1		2	0
10212014	-1	-1	-1		2	0
10212016	-1	-1	-1		2	0
10212018	-1	-1	-1		2	0
10212020	-1	-1	-1		2	0
10212034	-1	-1	-1		2	0
10212036	-1	-1	-1		2	0
10212038	-1	-1	-1		2	0
10212040	-1	-1	-1		2	0
10212054	-1	-1	-1		2	0
10212056	-1	-1	-1		2	0
10212058	-1	-1	-1		2	0
10212060	-1	-1	-1		2	0
10213014	-1	-1	-1		2	0
10213016	-1	-1	-1		2	0
10213018	-1	-1	-1		2	0
10213020	-1	-1	-1		2	0
10213034	-1	-1	-1		2	0
10213036	-1	-1	-1		2	0
10213038	-1	-1	-1		2	0
10213040	-1	-1	-1		2	0
10213054	-1	-1	-1		2	0
10213056	-1	-1	-1		2	0
10213058	-1	-1	-1		2	0
10213060	-1	-1	-1		2	0
10214014	-1	-1	-1		2	0
10214016	-1	-1	-1		2	0
10214018	-1	-1	-1		2	0
10214020	-1	-1	-1		2	0
10215014	-1	-1	-1		2	0
10215016	-1	-1	-1		2	0
10215018	-1	-1	-1		2	0
10215020	-1	-1	-1		2	0
10220017	-1	-1	-1		2	0
10220018	-1	-1	-1		2	0
10220019	-1	-1	-1		2	0
10220020	-1	-1	-1		2	0
10221017	-1	-1	-1		2	0
10221018	-1	-1	-1		2	0
10221019	-1	-1	-1		2	0
10221020	-1	-1	-1		2	0
10222017	-1	-1	-1		2	0
10222018	-1	-1	-1		2	0
10222019	-1	-1	-1		2	0
10222020	-1	-1	-1		2	0
10222031	-1	-1	-1		2	0
10222032	-1	-1	-1		2	0
10222033	-1	-1	-1		2	0
10222034	-1	-1	-1		2	0
10222035	-1	-1	-1		2	0
10222036	-1	-1	-1		2	0
10223017	-1	-1	-1		2	0
10223018	-1	-1	-1		2	0
10223019	-1	-1	-1		2	0
10223020	-1	-1	-1		2	0
10223031	-1	-1	-1		2	0
10223032	-1	-1	-1		2	0
10223033	-1	-1	-1		2	0
10223034	-1	-1	-1		2	0
10223035	-1	-1	-1		2	0
10223036	-1	-1	-1		2	0
10310001	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310002	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310003	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310004	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310005	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310006	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310007	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310011	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310012	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310013	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310014	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310015	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310016	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310017	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310021	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“精妙”		2	0
