INT	INT	INT	INT
INDEX	«øªØµ»º∂	¥©¥Ã…À∫¶	¥©¥Ãºı√‚
1	1	0	0
2	2	0	0
3	3	0	0
4	4	0	0
5	5	0	0
6	6	0	0
7	7	0	0
8	8	0	0
9	9	42	42
10	10	50	50
11	11	58	58
12	12	66	66
13	13	74	74
14	14	82	82
15	15	90	90
16	16	98	98
17	17	106	106
18	18	114	114
19	19	122	122
20	20	130	130
21	21	140	140
22	22	150	150
23	23	160	160
24	24	170	170
25	25	180	180
26	26	190	190
27	27	200	200
28	28	210	210
29	29	220	220
30	30	230	230
31	31	242	242
32	32	254	254
33	33	266	266
34	34	278	278
35	35	290	290
36	36	302	302
37	37	314	314
38	38	326	326
39	39	338	338
40	40	350	350
41	41	365	365
42	42	380	380
43	43	395	395
44	44	410	410
45	45	425	425
46	46	440	440
47	47	455	455
48	48	470	470
49	49	485	485
50	50	500	500
51	51	518	518
52	52	536	536
53	53	554	554
54	54	572	572
55	55	590	590
56	56	608	608
57	57	626	626
58	58	644	644
59	59	662	662
60	60	680	680
61	61	700	700
62	62	720	720
63	63	740	740
64	64	760	760
65	65	780	780
66	66	800	800
67	67	820	820
68	68	840	840
69	69	860	860
70	70	880	880
71	71	902	902
72	72	924	924
73	73	946	946
74	74	968	968
75	75	990	990
76	76	1012	1012
77	77	1034	1034
78	78	1056	1056
79	79	1078	1078
80	80	1100	1100
81	81	1125	1125
82	82	1150	1150
83	83	1175	1175
84	84	1200	1200
85	85	1250	1250
86	86	1300	1300
87	87	1350	1350
88	88	1400	1400
89	89	1450	1450
90	90	1500	1500
91	91	1700	1700
92	92	1900	1900
93	93	2100	2100
94	94	2300	2300
95	95	2500	2500
96	96	2700	2700
97	97	3000	3000
98	98	4000	4000
99	99	5000	5000
