INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
≥ËŒÔ±‡∫≈	√˚≥∆$1$	≥ËŒÔ¿‡–Õ	ø…–Ø¥¯µ»º∂	’Û”™	 «∑Ò±‰“Ï	 «∑Ò±¶±¶	 ≥ŒÔ¿‡	À˘ƒ‹—ßµƒººƒ‹ ˝	÷˜∂Øººƒ‹	÷˜∂Øººƒ‹…˙≥…º∏¬ £®1/100w£©	÷˜∂Øººƒ‹2	÷˜∂Øººƒ‹2…˙≥…º∏¬ £®1/100w£©	±ª∂Øººƒ‹1	±ª∂Øººƒ‹1…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹2	±ª∂Øººƒ‹2…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹3	±ª∂Øººƒ‹3…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹4	±ª∂Øººƒ‹4…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹5	±ª∂Øººƒ‹5…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹6	±ª∂Øººƒ‹6…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹7	±ª∂Øººƒ‹7…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹8	±ª∂Øººƒ‹8…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹9	±ª∂Øººƒ‹9…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹10	±ª∂Øººƒ‹10…˙≥…º∏¬ £®1/100W£©	±Í◊º Ÿ√¸	±Í◊º¡¶¡ø◊ ÷ 	±Í◊ºÃÂ÷ ◊ ÷ 	±Í◊º¡È∆¯◊ ÷ 	±Í◊º…Ì∑®◊ ÷ 	±Í◊º∂®¡¶◊ ÷ 	≥…≥§¬ 1	≥…≥§¬ 2	≥…≥§¬ 3	≥…≥§¬ 4	≥…≥§¬ 5	µ®–°(1/1000)	Ω˜…˜(1/1000)	÷“≥œ(1/1000)	æ´√˜(1/1000)	”¬√Õ(1/1000)	≥ËŒÔ∑±÷≥ ±º‰(ms)	Õ¨¿‡≤Œøº’‰ ﬁ¿‡–Õ
558	∆Æ∆Æ—º	298	1	9	1	0	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	500	500	500	500	500	500	550	575	650	750	900	50	20	20	10	1	558
559	∆Æ∆ÆÕ√	299	1	9	1	0	100	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	500	500	500	500	500	500	550	575	650	750	900	50	20	20	10	1	559
3000	≥…ƒÍÕ√◊”	300	5	9	0	0	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	571	652	1060	652	897	540	594	621	702	810	150	800	20	20	10	1	3000
3001	±‰“ÏÕ√◊”	300	5	9	1	0	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	742	848	1379	848	1166	540	594	621	702	810	150	800	20	20	10	1	3000
3009	Õ√◊”±¶±¶	300	5	9	0	1	100	10	688	100000	-1	-1	670	900000	668	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	571	652	1060	652	897	540	594	621	702	810	150	800	20	20	10	1	3000
3010	≥…ƒÍ—‡◊”	301	5	9	0	0	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	816	734	652	1060	571	540	594	621	702	810	10	20	800	20	150	1	3010
3011	±‰“Ï—‡◊”	301	5	9	1	0	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1060	954	848	1379	742	540	594	621	702	810	10	20	800	20	150	1	3010
3019	—‡◊”±¶±¶	301	5	9	0	1	11	10	739	100000	-1	-1	712	900000	726	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	816	734	652	1060	571	540	594	621	702	810	10	20	800	20	150	1	3010
3020	≥…ƒÍŒ⁄πÍ	302	5	9	0	0	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	734	1060	652	652	734	540	594	621	702	810	800	150	20	20	10	1	3020
3021	±‰“ÏŒ⁄πÍ	302	5	9	1	0	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	954	1379	848	848	954	540	594	621	702	810	800	150	20	20	10	1	3020
3029	Œ⁄πÍ±¶±¶	302	5	9	0	1	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	734	1060	652	652	734	540	594	621	702	810	800	150	20	20	10	1	3020
3030	≥…ƒÍπ∑	303	5	9	0	0	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	942	599	771	599	642	706	738	834	963	10	20	800	20	150	1	3030
3031	±‰“Ïπ∑	303	5	9	1	0	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1448	1225	779	1002	779	642	706	738	834	963	10	20	800	20	150	1	3030
3039	π∑±¶±¶	303	5	9	0	1	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	942	599	771	599	642	706	738	834	963	10	20	800	20	150	1	3030
3040	≥…ƒÍ¥Ã‚¨	304	5	9	0	0	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	857	857	857	857	642	706	738	834	963	150	800	20	20	10	1	3040
3041	±‰“Ï¥Ã‚¨	304	5	9	1	0	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	1114	1114	1114	1114	642	706	738	834	963	150	800	20	20	10	1	3040
3049	¥Ã‚¨±¶±¶	304	5	9	0	1	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	857	857	857	857	642	706	738	834	963	150	800	20	20	10	1	3040
3050	≥…ƒÍ∫Ô◊”	305	5	9	0	0	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	771	685	1114	599	642	706	738	834	963	20	50	20	900	10	1	3050
3051	±‰“Ï∫Ô◊”	305	5	9	1	0	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	1002	891	1448	779	642	706	738	834	963	20	50	20	900	10	1	3050
3059	∫Ô◊”±¶±¶	305	5	9	0	1	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	771	685	1114	599	642	706	738	834	963	20	50	20	900	10	1	3050
3060	≥…ƒÍÀ… Û	306	5	9	0	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	627	717	1166	717	986	744	818	855	967	1116	800	150	20	20	10	1	3060
3061	±‰“ÏÀ… Û	306	5	9	1	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	722	825	1341	825	1134	744	818	855	967	1116	800	150	20	20	10	1	3060
3062	±‰“ÏÀ… Û	306	5	9	1	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	816	932	1515	932	1282	744	818	855	967	1116	800	150	20	20	10	1	3060
3069	À… Û±¶±¶	306	5	9	0	1	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	627	717	1166	717	986	744	818	855	967	1116	800	150	20	20	10	1	3060
3070	≥…ƒÍ‰Ω–‹	307	5	9	0	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	897	897	897	897	897	744	818	855	967	1116	150	800	20	20	10	1	3070
3071	±‰“Ï‰Ω–‹	307	5	9	1	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1031	1031	1031	1031	1031	744	818	855	967	1116	10	20	20	150	800	1	3070
3072	±‰“Ï‰Ω–‹	307	5	9	1	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1166	1166	1166	1166	1166	744	818	855	967	1116	10	20	20	150	800	1	3070
