INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ITEMID	BASEWG	BASENG	BASEWF	BASENF	BASEMISS	SETATTR	QUAL	MATERIAL	PERCENT
39990000	587	587	-1	-1	-1	0	1	1	80
39990001	587	587	-1	-1	-1	1	2	3	100
39990002	587	587	-1	-1	-1	2	3	7	100
39990003	587	587	-1	-1	-1	3	4	12	100
39990004	587	587	-1	-1	-1	4	5	20	100
39990005	587	587	-1	-1	-1	5	1	1	80
39990006	587	587	-1	-1	-1	6	2	3	100
39990007	587	587	-1	-1	-1	7	3	7	100
39990008	587	587	-1	-1	-1	8	4	12	100
39990009	587	587	-1	-1	-1	9	5	20	100
39990010	587	587	-1	-1	-1	10	1	1	80
39990011	587	587	-1	-1	-1	11	2	3	100
39990012	587	587	-1	-1	-1	12	3	7	100
39990013	587	587	-1	-1	-1	13	4	12	100
39990014	587	587	-1	-1	-1	14	5	20	100
39990015	587	587	-1	-1	-1	15	1	1	80
39990016	587	587	-1	-1	-1	16	2	3	100
39990017	587	587	-1	-1	-1	17	3	7	100
39990018	587	587	-1	-1	-1	18	4	12	100
39990019	587	587	-1	-1	-1	19	5	20	100
39990020	587	587	-1	-1	-1	20	1	1	80
39990021	587	587	-1	-1	-1	21	2	3	100
39990022	587	587	-1	-1	-1	22	3	7	100
39990023	587	587	-1	-1	-1	23	4	12	100
39990024	587	587	-1	-1	-1	24	5	20	100
39990025	587	587	-1	-1	-1	25	1	1	80
39990026	587	587	-1	-1	-1	26	2	3	100
39990027	587	587	-1	-1	-1	27	3	7	100
39990028	587	587	-1	-1	-1	28	4	12	100
39990029	587	587	-1	-1	-1	29	5	20	100
39990030	587	587	-1	-1	-1	30	1	1	80
39990031	587	587	-1	-1	-1	31	2	3	100
39990032	587	587	-1	-1	-1	32	3	7	100
39990033	587	587	-1	-1	-1	33	4	12	100
39990034	587	587	-1	-1	-1	34	5	20	100
39990035	587	587	-1	-1	-1	35	1	1	80
39990036	587	587	-1	-1	-1	36	2	3	100
39990037	587	587	-1	-1	-1	37	3	7	100
39990038	587	587	-1	-1	-1	38	4	12	100
39990039	587	587	-1	-1	-1	39	5	20	100
39990040	587	587	-1	-1	-1	40	1	1	80
39990041	587	587	-1	-1	-1	41	2	3	100
39990042	587	587	-1	-1	-1	42	3	7	100
39990043	587	587	-1	-1	-1	43	4	12	100
39990044	587	587	-1	-1	-1	44	5	20	100
39990045	657	657	-1	-1	-1	45	1	20	100
39990046	657	657	-1	-1	-1	46	2	30	100
39990047	657	657	-1	-1	-1	47	3	35	100
39990048	657	657	-1	-1	-1	48	4	42	100
39990049	657	657	-1	-1	-1	49	5	57	100
39990050	657	657	-1	-1	-1	50	1	20	100
39990051	657	657	-1	-1	-1	51	2	30	100
39990052	657	657	-1	-1	-1	52	3	35	100
39990053	657	657	-1	-1	-1	53	4	42	100
39990054	657	657	-1	-1	-1	54	5	57	100
39990055	657	657	-1	-1	-1	55	1	20	100
39990056	657	657	-1	-1	-1	56	2	30	100
39990057	657	657	-1	-1	-1	57	3	35	100
39990058	657	657	-1	-1	-1	58	4	42	100
39990059	657	657	-1	-1	-1	59	5	57	100
39990060	657	657	-1	-1	-1	60	1	20	100
39990061	657	657	-1	-1	-1	61	2	30	100
39990062	657	657	-1	-1	-1	62	3	35	100
39990063	657	657	-1	-1	-1	63	4	42	100
39990064	657	657	-1	-1	-1	64	5	57	100
39990065	657	657	-1	-1	-1	65	1	20	100
39990066	657	657	-1	-1	-1	66	2	30	100
39990067	657	657	-1	-1	-1	67	3	35	100
39990068	657	657	-1	-1	-1	68	4	42	100
39990069	657	657	-1	-1	-1	69	5	57	100
39990070	657	657	-1	-1	-1	70	1	20	100
39990071	657	657	-1	-1	-1	71	2	30	100
39990072	657	657	-1	-1	-1	72	3	35	100
39990073	657	657	-1	-1	-1	73	4	42	100
39990074	657	657	-1	-1	-1	74	5	57	100
39990075	657	657	-1	-1	-1	75	1	20	100
39990076	657	657	-1	-1	-1	76	2	30	100
39990077	657	657	-1	-1	-1	77	3	35	100
