INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
EQUIPID	MATERIAL	NUM	MATERIAL	NUM	MONEY	PRODECT	CLIENT	CLIENT	QUAL
39990000	20301009	3	-1	-1	10000	39990001	0	_001	2
39990001	20301009	5	-1	-1	20000	39990002	1	_002	3
39990002	20301009	7	-1	-1	30000	39990003	1	_003	4
39990003	20301009	11	-1	-1	40000	39990004	1	_004	5
39990004	20301009	16	20301010	1	50000	39990135	1	_005	6
39990005	20301009	3	-1	-1	10000	39990006	0	_006	2
39990006	20301009	5	-1	-1	20000	39990007	1	_007	3
39990007	20301009	7	-1	-1	30000	39990008	1	_008	4
39990008	20301009	11	-1	-1	40000	39990009	1	_009	5
39990009	20301009	16	20301010	1	50000	39990136	1	_010	6
39990010	20301009	3	-1	-1	10000	39990011	0	_011	2
39990011	20301009	5	-1	-1	20000	39990012	1	_012	3
39990012	20301009	7	-1	-1	30000	39990013	1	_013	4
39990013	20301009	11	-1	-1	40000	39990014	1	_014	5
39990014	20301009	16	20301010	1	50000	39990137	1	_015	6
39990015	20301009	3	-1	-1	10000	39990016	0	_016	2
39990016	20301009	5	-1	-1	20000	39990017	1	_017	3
39990017	20301009	7	-1	-1	30000	39990018	1	_018	4
39990018	20301009	11	-1	-1	40000	39990019	1	_019	5
39990019	20301009	16	20301010	1	50000	39990138	1	_020	6
39990020	20301009	3	-1	-1	10000	39990021	0	_021	2
39990021	20301009	5	-1	-1	20000	39990022	1	_022	3
39990022	20301009	7	-1	-1	30000	39990023	1	_023	4
39990023	20301009	11	-1	-1	40000	39990024	1	_024	5
39990024	20301009	16	20301010	1	50000	39990139	1	_025	6
39990025	20301009	3	-1	-1	10000	39990026	0	_026	2
39990026	20301009	5	-1	-1	20000	39990027	1	_027	3
39990027	20301009	7	-1	-1	30000	39990028	1	_028	4
39990028	20301009	11	-1	-1	40000	39990029	1	_029	5
39990029	20301009	16	20301010	1	50000	39990140	1	_030	6
39990030	20301009	3	-1	-1	10000	39990031	0	_031	2
39990031	20301009	5	-1	-1	20000	39990032	1	_032	3
39990032	20301009	7	-1	-1	30000	39990033	1	_033	4
39990033	20301009	11	-1	-1	40000	39990034	1	_034	5
39990034	20301009	16	20301010	1	50000	39990141	1	_035	6
39990035	20301009	3	-1	-1	10000	39990036	0	_036	2
39990036	20301009	5	-1	-1	20000	39990037	1	_037	3
39990037	20301009	7	-1	-1	30000	39990038	1	_038	4
39990038	20301009	11	-1	-1	40000	39990039	1	_039	5
39990039	20301009	16	20301010	1	50000	39990142	1	_040	6
39990040	20301009	3	-1	-1	10000	39990041	0	_041	2
39990041	20301009	5	-1	-1	20000	39990042	1	_042	3
39990042	20301009	7	-1	-1	30000	39990043	1	_043	4
39990043	20301009	11	-1	-1	40000	39990044	1	_044	5
39990044	20301009	16	20301010	1	50000	39990143	1	_045	6
39990045	20301009	16	-1	-1	10000	39990046	0	_046	2
39990046	20301009	18	-1	-1	20000	39990047	1	_047	3
39990047	20301009	20	-1	-1	30000	39990048	1	_048	4
39990048	20301009	24	-1	-1	40000	39990049	1	_049	5
39990049	20301009	28	20301010	1	50000	39990144	1	_050	6
39990050	20301009	16	-1	-1	10000	39990051	0	_051	2
39990051	20301009	18	-1	-1	20000	39990052	1	_052	3
39990052	20301009	20	-1	-1	30000	39990053	1	_053	4
39990053	20301009	24	-1	-1	40000	39990054	1	_054	5
39990054	20301009	28	20301010	1	50000	39990145	1	_055	6
39990055	20301009	16	-1	-1	10000	39990056	0	_056	2
39990056	20301009	18	-1	-1	20000	39990057	1	_057	3
39990057	20301009	20	-1	-1	30000	39990058	1	_058	4
39990058	20301009	24	-1	-1	40000	39990059	1	_059	5
39990059	20301009	28	20301010	1	50000	39990146	1	_060	6
39990060	20301009	16	-1	-1	10000	39990061	0	_061	2
39990061	20301009	18	-1	-1	20000	39990062	1	_062	3
39990062	20301009	20	-1	-1	30000	39990063	1	_063	4
39990063	20301009	24	-1	-1	40000	39990064	1	_064	5
39990064	20301009	28	20301010	1	50000	39990147	1	_065	6
39990065	20301009	16	-1	-1	10000	39990066	0	_066	2
39990066	20301009	18	-1	-1	20000	39990067	1	_067	3
39990067	20301009	20	-1	-1	30000	39990068	1	_068	4
39990068	20301009	24	-1	-1	40000	39990069	1	_069	5
39990069	20301009	28	20301010	1	50000	39990148	1	_070	6
39990070	20301009	16	-1	-1	10000	39990071	0	_071	2
39990071	20301009	18	-1	-1	20000	39990072	1	_072	3
39990072	20301009	20	-1	-1	30000	39990073	1	_073	4
39990073	20301009	24	-1	-1	40000	39990074	1	_074	5
39990074	20301009	28	20301010	1	50000	39990149	1	_075	6
39990075	20301009	16	-1	-1	10000	39990076	0	_076	2
39990076	20301009	18	-1	-1	20000	39990077	1	_077	3
39990077	20301009	20	-1	-1	30000	39990078	1	_078	4
39990078	20301009	24	-1	-1	40000	39990079	1	_079	5
39990079	20301009	28	20301010	1	50000	39990150	1	_080	6
39990080	20301009	16	-1	-1	10000	39990081	0	_081	2
39990081	20301009	18	-1	-1	20000	39990082	1	_082	3
39990082	20301009	20	-1	-1	30000	39990083	1	_083	4
39990083	20301009	24	-1	-1	40000	39990084	1	_084	5
39990084	20301009	28	20301010	1	50000	39990151	1	_085	6
39990085	20301009	16	-1	-1	10000	39990086	0	_086	2
39990086	20301009	18	-1	-1	20000	39990087	1	_087	3
39990087	20301009	20	-1	-1	30000	39990088	1	_088	4
39990088	20301009	24	-1	-1	40000	39990089	1	_089	5
39990089	20301009	28	20301010	1	50000	39990152	1	_090	6
39990090	20301009	36	-1	-1	10000	39990091	0	_091	2
39990091	20301009	43	-1	-1	20000	39990092	1	_092	3
39990092	20301009	50	-1	-1	30000	39990093	1	_093	4
39990093	20301009	56	-1	-1	40000	39990094	1	_094	5
39990094	20301009	63	20301010	1	50000	39990153	1	_095	6
39990095	20301009	36	-1	-1	10000	39990096	0	_096	2
39990096	20301009	43	-1	-1	20000	39990097	1	_097	3
39990097	20301009	50	-1	-1	30000	39990098	1	_098	4
39990098	20301009	56	-1	-1	40000	39990099	1	_099	5
39990099	20301009	63	20301010	1	50000	39990154	1	_100	6
39990100	20301009	36	-1	-1	10000	39990101	0	_101	2
39990101	20301009	43	-1	-1	20000	39990102	1	_102	3
39990102	20301009	50	-1	-1	30000	39990103	1	_103	4
39990103	20301009	56	-1	-1	40000	39990104	1	_104	5
39990104	20301009	63	20301010	1	50000	39990155	1	_105	6
39990105	20301009	36	-1	-1	10000	39990106	0	_106	2
39990106	20301009	43	-1	-1	20000	39990107	1	_107	3
39990107	20301009	50	-1	-1	30000	39990108	1	_108	4
39990108	20301009	56	-1	-1	40000	39990109	1	_109	5
39990109	20301009	63	20301010	1	50000	39990156	1	_110	6
39990110	20301009	36	-1	-1	10000	39990111	0	_111	2
39990111	20301009	43	-1	-1	20000	39990112	1	_112	3
39990112	20301009	50	-1	-1	30000	39990113	1	_113	4
39990113	20301009	56	-1	-1	40000	39990114	1	_114	5
39990114	20301009	63	20301010	1	50000	39990157	1	_115	6
39990115	20301009	36	-1	-1	10000	39990116	0	_116	2
39990116	20301009	43	-1	-1	20000	39990117	1	_117	3
39990117	20301009	50	-1	-1	30000	39990118	1	_118	4
39990118	20301009	56	-1	-1	40000	39990119	1	_119	5
39990119	20301009	63	20301010	1	50000	39990158	1	_120	6
39990120	20301009	36	-1	-1	10000	39990121	0	_121	2
39990121	20301009	43	-1	-1	20000	39990122	1	_122	3
39990122	20301009	50	-1	-1	30000	39990123	1	_123	4
39990123	20301009	56	-1	-1	40000	39990124	1	_124	5
39990124	20301009	63	20301010	1	50000	39990159	1	_125	6
39990125	20301009	36	-1	-1	10000	39990126	0	_126	2
39990126	20301009	43	-1	-1	20000	39990127	1	_127	3
39990127	20301009	50	-1	-1	30000	39990128	1	_128	4
39990128	20301009	56	-1	-1	40000	39990129	1	_129	5
39990129	20301009	63	20301010	1	50000	39990160	1	_130	6
39990130	20301009	36	-1	-1	10000	39990131	0	_131	2
39990131	20301009	43	-1	-1	20000	39990132	1	_132	3
39990132	20301009	50	-1	-1	30000	39990133	1	_133	4
39990133	20301009	56	-1	-1	40000	39990134	1	_134	5
39990134	20301009	63	20301010	1	50000	39990161	1	_135	6
