INT	INT	INT	INT
旧外观ID	幻化外观1	幻化外观2	金币
3001	-1	-1	100000
3009	-1	-1	100000
3011	-1	-1	100000
3019	-1	-1	100000
3021	-1	-1	100000
3029	-1	-1	100000
3031	-1	-1	100000
3039	-1	-1	100000
3041	-1	-1	100000
3049	-1	-1	100000
3051	-1	-1	100000
3059	-1	-1	100000
3061	-1	-1	100000
3062	-1	-1	100000
3069	-1	-1	100000
3071	-1	-1	100000
3072	-1	-1	100000
3079	-1	-1	100000
3081	-1	-1	100000
3082	-1	-1	100000
3089	-1	-1	100000
3091	-1	-1	100000
3092	-1	-1	100000
3099	-1	-1	100000
3101	-1	-1	100000
3102	-1	-1	100000
3109	-1	-1	100000
3111	-1	-1	100000
3112	-1	-1	100000
3119	-1	-1	100000
3121	-1	-1	100000
3122	-1	-1	100000
3129	-1	-1	100000
3131	-1	-1	500000
3132	-1	-1	500000
3133	-1	-1	500000
3139	-1	-1	500000
3141	-1	-1	500000
3142	-1	-1	500000
3143	-1	-1	500000
3149	-1	-1	500000
3151	-1	-1	500000
3152	-1	-1	500000
3153	-1	-1	500000
3159	-1	-1	500000
3161	-1	-1	500000
3162	-1	-1	500000
3163	-1	-1	500000
3169	-1	-1	500000
3171	-1	-1	600000
3172	-1	-1	600000
3173	-1	-1	600000
3174	-1	-1	600000
3179	-1	-1	600000
3181	-1	-1	600000
3182	-1	-1	600000
3183	-1	-1	600000
3184	-1	-1	600000
3189	-1	-1	600000
3191	-1	-1	600000
3192	-1	-1	600000
3193	-1	-1	600000
3194	-1	-1	600000
3199	-1	-1	600000
3201	-1	-1	600000
3202	-1	-1	600000
3203	-1	-1	600000
3204	-1	-1	600000
3209	-1	-1	600000
3211	-1	-1	700000
3212	-1	-1	700000
3213	-1	-1	700000
3214	-1	-1	700000
3215	-1	-1	700000
3219	-1	-1	700000
3221	-1	-1	700000
3222	-1	-1	700000
3223	-1	-1	700000
3224	-1	-1	700000
3225	-1	-1	700000
3229	-1	-1	700000
3231	-1	-1	700000
3232	-1	-1	700000
3233	-1	-1	700000
3234	-1	-1	700000
3235	-1	-1	700000
3239	-1	-1	700000
3241	-1	-1	700000
3242	-1	-1	700000
3243	-1	-1	700000
3244	-1	-1	700000
3245	-1	-1	700000
3249	-1	-1	700000
3251	-1	-1	800000
3252	-1	-1	800000
3253	-1	-1	800000
3254	-1	-1	800000
3255	-1	-1	800000
3256	-1	-1	800000
3259	-1	-1	800000
3261	-1	-1	800000
3262	-1	-1	800000
3263	-1	-1	800000
3264	-1	-1	800000
3265	-1	-1	800000
3266	-1	-1	800000
3269	-1	-1	800000
3271	-1	-1	800000
3272	-1	-1	800000
3273	-1	-1	800000
3274	-1	-1	800000
3275	-1	-1	800000
3276	-1	-1	800000
3279	-1	-1	800000
3281	-1	-1	800000
3282	-1	-1	800000
3283	-1	-1	800000
3284	-1	-1	800000
3285	-1	-1	800000
3286	-1	-1	800000
3289	-1	-1	800000
3291	25001	25002	990000
3292	25001	25002	990000
3293	25001	25002	990000
3294	25001	25002	990000
3295	25001	25002	990000
3296	25001	25002	990000
3297	25001	25002	990000
3299	25001	25002	990000
3301	25011	25012	990000
3302	25011	25012	990000
3303	25011	25012	990000
3304	25011	25012	990000
3305	25011	25012	990000
3306	25011	25012	990000
3307	25011	25012	990000
3309	25011	25012	990000
3311	25021	25022	990000
3312	25021	25022	990000
3313	25021	25022	990000
3314	25021	25022	990000
3315	25021	25022	990000
3316	25021	25022	990000
3317	25021	25022	990000
3319	25021	25022	990000
3321	25031	25032	990000
3322	25031	25032	990000
3323	25031	25032	990000
3324	25031	25032	990000
3325	25031	25032	990000
3326	25031	25032	990000
3327	25031	25032	990000
3329	25031	25032	990000
3331	25351	25352	990000
3332	25351	25352	990000
3333	25351	25352	990000
3334	25351	25352	990000
3335	25351	25352	990000
3336	25351	25352	990000
3337	25351	25352	990000
3338	25351	25352	990000
3339	25351	25352	990000
3341	25361	25362	990000
3342	25361	25362	990000
3343	25361	25362	990000
3344	25361	25362	990000
3345	25361	25362	990000
3346	25361	25362	990000
3347	25361	25362	990000
3348	25361	25362	990000
3349	25361	25362	990000
3351	-1	-1	300000
3352	-1	-1	300000
3359	-1	-1	300000
3361	-1	-1	100000
3362	-1	-1	100000
3369	-1	-1	100000
3371	-1	-1	100000
3372	-1	-1	100000
3379	-1	-1	100000
3381	-1	-1	100000
3382	-1	-1	100000
3389	-1	-1	100000
3391	-1	-1	100000
3392	-1	-1	100000
3399	-1	-1	100000
3401	-1	-1	100000
3402	-1	-1	100000
3409	-1	-1	100000
3411	-1	-1	100000
3412	-1	-1	100000
3419	-1	-1	100000
3421	-1	-1	100000
3422	-1	-1	100000
3429	-1	-1	100000
3431	-1	-1	800000
3432	-1	-1	800000
3433	-1	-1	800000
3434	-1	-1	800000
3435	-1	-1	800000
3436	-1	-1	800000
3439	-1	-1	800000
3441	-1	-1	100000
3442	-1	-1	100000
3449	-1	-1	100000
