INT	INT
Level	Exp
1	9
2	32
3	63
4	115
5	162
6	180
7	198
8	216
9	234
10	630
11	702
12	777
13	887
14	1004
15	1162
16	1332
17	1549
18	1821
19	2152
20	2548
21	3015
22	3556
23	4179
24	4888
25	5742
26	6750
27	7867
28	9100
29	10454
30	12362
31	14427
32	16653
33	19047
34	21614
35	24359
36	27288
37	30405
38	33717
39	37229
40	40986
41	44995
42	49266
43	53805
44	58622
45	63724
46	69120
47	74817
48	80823
49	87147
50	93798
51	100782
52	108108
53	115784
54	123818
55	132219
56	140994
57	150151
58	159699
59	169646
60	180000
61	190768
62	201960
63	213582
64	225644
65	238153
66	251685
67	266782
68	283500
69	301891
70	322011
71	343912
72	367650
73	393277
74	420849
75	451840
76	486360
77	524515
78	566415
79	612166
80	673974
81	767677
82	909837
83	1117732
84	1409364
85	1803451
86	2319435
87	2977474
88	3798450
89	48039615
90	60163290
91	74585925
92	91545120
93	111285675
94	134059590
95	160126065
96	189751500
97	223209495
98	260780850
99	302753565
100	307564920
101	312506775
102	317581830
103	322792785
104	328142340
105	333633195
106	339268050
107	345049605
108	350980560
109	357063615
110	363301470
111	369696825
112	376252380
113	382970835
114	389854890
115	396907245
116	404130600
117	411527655
118	419101110
119	426853665
120	434788020
121	442906875
122	451212930
123	459708885
124	468397440
125	477281295
126	486363150
127	495645705
128	505131660
129	514823715
130	524724570
131	534836925
132	545163480
133	555706935
134	566469990
135	577455345
136	588665700
137	600103755
138	611772210
139	623673765
140	635811120
141	648186975
142	660804030
143	673664985
144	686772540
145	724294215
146	766577250
147	813979845
148	866867400
149	925612515
150	0
151	262362285
152	262362285
153	262362285
154	262362285
155	262362285
156	262362285
157	262362285
158	262362285
159	262362285
160	262362285
161	262362285
162	262362285
163	262362285
164	262362285
165	262362285
166	262362285
167	262362285
168	262362285
169	262362285
170	262362285
171	262362285
172	262362285
173	262362285
174	262362285
175	262362285
176	262362285
177	262362285
178	262362285
179	262362285
180	262362285
181	262362285
182	262362285
183	262362285
184	262362285
185	262362285
186	262362285
187	262362285
188	262362285
189	262362285
190	262362285
191	262362285
192	262362285
193	262362285
194	262362285
195	262362285
196	262362285
197	262362285
198	262362285
199	262362285
200	262362285
201	262362285
202	262362285
203	262362285
204	262362285
205	262362285
206	262362285
207	262362285
208	262362285
209	262362285
210	262362285
211	262362285
212	262362285
213	262362285
214	262362285
215	262362285
216	262362285
217	262362285
218	262362285
219	262362285
220	262362285
221	262362285
222	262362285
223	262362285
224	262362285
225	262362285
226	262362285
227	262362285
228	262362285
229	262362285
230	262362285
231	262362285
232	262362285
233	262362285
234	262362285
235	262362285
236	262362285
237	262362285
238	262362285
239	262362285
240	262362285
241	262362285
242	262362285
243	262362285
244	262362285
245	262362285
246	262362285
247	262362285
248	262362285
249	262362285
250	262362285
251	262362285
252	262362285
253	262362285
254	262362285
255	262362285
