INT	INT	INT	INT	INT	INT	INT
INDEX(Level*100+孔数)	耗钱	物品1	消耗数1	耗钱2	物品2	消耗数2
101	300	20109001	1	-1	-1	-1
102	360	20109001	1	-1	-1	-1
103	420	20109001	1	-1	-1	-1
104	1000000	20109101	1	3000000	20310111	1
201	310	20109001	1	-1	-1	-1
202	374	20109001	1	-1	-1	-1
203	436	20109001	1	-1	-1	-1
204	1000000	20109101	1	3000000	20310111	1
301	324.8	20109001	1	-1	-1	-1
302	383.76	20109001	1	-1	-1	-1
303	452.72	20109001	1	-1	-1	-1
304	1000000	20109101	1	3000000	20310111	1
401	334.592	20109001	1	-1	-1	-1
402	404.5104	20109001	1	-1	-1	-1
403	472.4288	20109001	1	-1	-1	-1
404	1000000	20109101	1	3000000	20310111	1
501	350.57568	20109001	1	-1	-1	-1
502	421.90816	20109001	1	-1	-1	-1
503	493.405952	20109001	1	-1	-1	-1
504	1000000	20109101	1	3000000	20310111	1
601	369.958707	20109001	1	-1	-1	-1
602	439.50449	20109001	1	-1	-1	-1
603	519.94219	20109001	1	-1	-1	-1
604	1000000	20109101	1	3000000	20310111	1
701	379.957055	20109001	1	-1	-1	-1
702	455.148467	20109001	1	-1	-1	-1
703	534.339878	20109001	1	-1	-1	-1
704	1000000	20109101	1	3000000	20310111	1
801	397.795338	20109001	1	-1	-1	-1
802	473.354405	20109001	1	-1	-1	-1
803	556.913473	20109001	1	-1	-1	-1
804	1000000	20109101	1	3000000	20310111	1
901	415.707151	20109001	1	-1	-1	-1
902	496.848581	20109001	1	-1	-1	-1
903	577.990012	20109001	1	-1	-1	-1
904	1000000	20109101	1	3000000	20310111	1
1001	415.707151	20109001	1	-1	-1	-1
1002	496.848581	20109001	1	-1	-1	-1
1003	577.990012	20109001	1	-1	-1	-1
1004	1000000	20109101	1	3000000	20310111	1
1101	415.707151	20109002	1	-1	-1	-1
1102	496.848581	20109002	1	-1	-1	-1
1103	577.990012	20109002	1	-1	-1	-1
1104	1000000	20109101	1	3000000	20310111	1
1201	415.707151	20109002	1	-1	-1	-1
1202	496.848581	20109002	1	-1	-1	-1
1203	577.990012	20109002	1	-1	-1	-1
1204	1000000	20109101	1	3000000	20310111	1
1301	415.707151	20109002	1	-1	-1	-1
1302	496.848581	20109002	1	-1	-1	-1
1303	577.990012	20109002	1	-1	-1	-1
1304	1000000	20109101	1	3000000	20310111	1
1401	415.707151	20109002	1	-1	-1	-1
1402	496.848581	20109002	1	-1	-1	-1
1403	577.990012	20109002	1	-1	-1	-1
1404	1000000	20109101	1	3000000	20310111	1
1501	415.707151	20109002	1	-1	-1	-1
