INT	INT	STRING	INT	INT	INT
武器ID	外观ID	武器名称	武器动作ID	生效说明ID	武器类型0幻饰武器1九星神器
10102221	1135	樱桃布丁（1级）	-1	-1	0
10102222	1194	樱桃布丁（2级）	-1	-1	0
10102223	1195	樱桃布丁（3级）	-1	-1	0
10102224	1196	樱桃布丁（4级）	-1	-1	0
10102225	1197	樱桃布丁（5级）	-1	-1	0
10102231	1134	草莓甜筒（1级）	-1	-1	0
10102232	1190	草莓甜筒（2级）	-1	-1	0
10102233	1191	草莓甜筒（3级）	-1	-1	0
10102234	1192	草莓甜筒（4级）	-1	-1	0
10102235	1193	草莓甜筒（5级）	-1	-1	0
10102241	1138	浪漫小熊（1级）	-1	-1	0
10102242	1198	浪漫小熊（2级）	-1	-1	0
10102243	1199	浪漫小熊（3级）	-1	-1	0
10102244	1200	浪漫小熊（4级）	-1	-1	0
10102245	1201	浪漫小熊（5级）	-1	-1	0
10102251	1189	绮梦玫瑰（1级）	-1	-1	0
10102252	1210	绮梦玫瑰（2级）	-1	-1	0
10102253	1211	绮梦玫瑰（3级）	-1	-1	0
10102254	1212	绮梦玫瑰（4级）	-1	-1	0
10102255	1213	绮梦玫瑰（5级）	-1	-1	0
10102261	976	一生一世（1级）	-1	-1	0
10102262	1206	一生一世（2级）	-1	-1	0
10102263	1207	一生一世（3级）	-1	-1	0
10102264	1208	一生一世（4级）	-1	-1	0
10102265	1209	一生一世（5级）	-1	-1	0
10102271	974	蓝色妖姬（1级）	-1	-1	0
10102272	1202	蓝色妖姬（2级）	-1	-1	0
10102273	1203	蓝色妖姬（3级）	-1	-1	0
10102274	1204	蓝色妖姬（4级）	-1	-1	0
10102275	1205	蓝色妖姬（5级）	-1	-1	0
10102281	973	大风车（1级）	-1	-1	0
10102282	1246	大风车（2级）	-1	-1	0
10102283	1247	大风车（3级）	-1	-1	0
10102284	1248	大风车（4级）	-1	-1	0
10102285	1249	大风车（5级）	-1	-1	0
10102291	972	山楂冰糖葫芦（1级）	-1	-1	0
10102292	1242	山楂冰糖葫芦（2级）	-1	-1	0
10102293	1243	山楂冰糖葫芦（3级）	-1	-1	0
10102294	1244	山楂冰糖葫芦（4级）	-1	-1	0
10102295	1245	山楂冰糖葫芦（5级）	-1	-1	0
10102301	752	红玫瑰（1级）	-1	-1	0
10102302	1230	红玫瑰（2级）	-1	-1	0
10102303	1231	红玫瑰（3级）	-1	-1	0
10102304	1232	红玫瑰（4级）	-1	-1	0
10102305	1233	红玫瑰（5级）	-1	-1	0
10102311	751	粉玫瑰（1级）	-1	-1	0
10102312	1226	粉玫瑰（2级）	-1	-1	0
10102313	1227	粉玫瑰（3级）	-1	-1	0
10102314	1228	粉玫瑰（4级）	-1	-1	0
10102315	1229	粉玫瑰（5级）	-1	-1	0
10102321	750	紫郁金香（1级）	-1	-1	0
10102322	1238	紫郁金香（2级）	-1	-1	0
10102323	1239	紫郁金香（3级）	-1	-1	0
10102324	1240	紫郁金香（4级）	-1	-1	0
10102325	1241	紫郁金香（5级）	-1	-1	0
10102331	749	红郁金香（1级）	-1	-1	0
10102332	1234	红郁金香（2级）	-1	-1	0
10102333	1235	红郁金香（3级）	-1	-1	0
10102334	1236	红郁金香（4级）	-1	-1	0
10102335	1237	红郁金香（5级）	-1	-1	0
10102341	732	棒棒糖（红）（1级）	-1	-1	0
10102342	1214	棒棒糖（红）（2级）	-1	-1	0
10102343	1215	棒棒糖（红）（3级）	-1	-1	0
10102344	1216	棒棒糖（红）（4级）	-1	-1	0
10102345	1217	棒棒糖（红）（5级）	-1	-1	0
10102351	730	棒棒糖（绿）（1级）	-1	-1	0
10102352	1222	棒棒糖（绿）（2级）	-1	-1	0
10102353	1223	棒棒糖（绿）（3级）	-1	-1	0
10102354	1224	棒棒糖（绿）（4级）	-1	-1	0
