INT	STRING	INT	INT	INT	INT	INT	INT	INT
物品ID	名称$1$	掉落概率	是否发送消息	预留	预留	预留	预留	预留
30402012	高级借力技能书	47	1	47	0	0	0	0
30402014	高级移魂技能书	47	1	94	0	0	0	0
30402016	高级加速技能书	47	1	141	0	0	0	0
30402018	高级强身技能书	47	1	188	0	0	0	0
30402020	高级凝神技能书	47	1	235	0	0	0	0
30402026	高级血爆技能书	47	1	282	0	0	0	0
30402030	高级冰爆技能书	47	1	329	0	0	0	0
30402034	高级重生技能书	47	1	376	0	0	0	0
30402036	高级共生技能书	47	1	423	0	0	0	0
30402038	高级治疗技能书	47	1	470	0	0	0	0
30402040	高级肉墙技能书	47	1	517	0	0	0	0
30402042	高级神佑技能书	47	1	564	0	0	0	0
30402044	高级嗜血技能书	47	1	611	0	0	0	0
30402046	高级血祭技能书	47	1	658	0	0	0	0
30402048	高级伪装技能书	47	1	705	0	0	0	0
30402050	高级附身技能书	47	1	752	0	0	0	0
30402056	高级反击技能书	47	1	799	0	0	0	0
30402060	高级反震技能书	47	1	846	0	0	0	0
30402062	高级灵动技能书	47	1	893	0	0	0	0
30402064	高级吸气技能书	47	1	940	0	0	0	0
30402066	高级打怒技能书	47	1	987	0	0	0	0
30402068	高级忠心技能书	47	1	1034	0	0	0	0
30402070	高级灵气技能书	47	1	1081	0	0	0	0
30402072	高级猛击技能书	47	1	1128	0	0	0	0
30402074	高级识破技能书	47	1	1175	0	0	0	0
30402076	高级虚弱	47	1	1222	0	0	0	0
30402078	高级破绽	47	1	1269	0	0	0	0
30402080	高级摔绊	47	1	1316	0	0	0	0
30402092	高级连击技能书	47	1	1363	0	0	0	0
30402094	高级痛击技能书	47	1	1410	0	0	0	0
30402095	咆哮技能书	47	1	1457	0	0	0	0
30402101	高级凝冰	10	1	1504	0	0	0	0
30402103	高级焚焰	10	1	1551	0	0	0	0
30402105	高级释玄	10	1	1598	0	0	0	0
30402107	高级聚毒	10	1	1645	0	0	0	0
30402109	高级冰甲	10	1	1692	0	0	0	0
30402111	高级火盾	10	1	1739	0	0	0	0
30402113	高级玄壳	10	1	1786	0	0	0	0
30402115	高级毒袍	10	1	1833	0	0	0	0
30402117	高级铁骨	10	1	1880	0	0	0	0
30402119	高级韧筋	10	1	1927	0	0	0	0
30402121	高级沸血	10	1	1974	0	0	0	0
30402123	高级精准	10	1	2021	0	0	0	0
30402125	高级疾闪	10	1	2068	0	0	0	0
30402051	寒冰咒技能书	47	1	2115	0	0	0	0
30402052	烈火咒技能书	47	1	2162	0	0	0	0
30402053	血毒咒技能书	47	1	2209	0	0	0	0
30402054	玄雷咒技能书	47	1	2256	0	0	0	0
30402021	极冰凝杀技能书	10	1	2303	0	0	0	0
30402022	劫火焚杀技能书	10	1	2350	0	0	0	0
30402023	腐毒蚀杀技能书	10	1	2397	0	0	0	0
30402024	玄雷击杀技能书	10	1	2444	0	0	0	0
20700004	琉璃明珠	47	1	2491	0	0	0	0
10100002	云头刀	57	0	2538	0	0	0	0
10100003	鸣鸿刀	57	0	2585	0	0	0	0
10100004	青龙偃月刀	46	0	2632	0	0	0	0
10100005	护手狼牙刀	34	0	2679	0	0	0	0
10100006	昭仪灵宝	23	0	2726	0	0	0	0
10100007	八荒蝉翼	11	0	2773	0	0	0	0
10101002	雁翎枪	57	0	2820	0	0	0	0
10101003	丈八蛇矛	57	0	2867	0	0	0	0
10101004	方天画戟	46	0	2914	0	0	0	0
10101005	罗汉伏魔杵	34	0	2961	0	0	0	0
10101006	烈火战枪	23	0	3008	0	0	0	0
10101007	夜叉神戟	11	0	3055	0	0	0	0
10102002	青锋剑	57	0	3102	0	0	0	0
10102003	冰弦剑	57	0	3149	0	0	0	0
10102004	玄铁剑	46	0	3196	0	0	0	0
10102005	赤霄剑	34	0	3243	0	0	0	0
10102006	金翎剑	23	0	3290	0	0	0	0
10102007	斩蛟宝刀	11	0	3337	0	0	0	0
10103002	凤鸣剑	57	0	3384	0	0	0	0
10103003	翡翠双剑	57	0	3431	0	0	0	0
10103004	子母剑	46	0	3478	0	0	0	0
