INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID(怪物编号)	Mvalue(怪物价值)	怪物掉落类型	DID1(掉落包编号)	DID2	DID3	DID4	DID5	DID6	DID7	DID8	DID9	DID10	DID11	DID12	DID13	DID14	DID15	DID16	DID17	DID18	DID19	DID20
#潇湘综合修改工具 QQ群923288704 潇湘QQ1400003003																						
#护岛神兽																						
704	100	1	30	31	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
705	100	1	30	31	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
706	100	1	30	31	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
707	100	1	30	31	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
#木桶伯																						
868	100	1	48	49	50	51	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
#门派BOSS																						
869	100	1	1	2	3	10	11	12	13	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
870	100	1	1	2	3	10	11	12	13	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
871	100	1	1	2	3	10	11	12	13	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
872	100	1	1	2	4	10	11	12	13	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
873	100	1	1	2	5	10	11	12	13	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
874	100	1	1	2	6	10	11	12	13	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
875	100	1	1	2	7	10	11	12	13	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
876	100	1	1	2	8	10	11	12	13	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
877	100	1	1	2	9	10	11	12	13	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
#工魂影像																						
880	100	1	45	46	47	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
#镜湖小龙																						
884	100	1	69	80	78	85	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
