INT	INT
宠物等级	升级经验
1	10
2	30
3	60
4	110
5	170
6	260
7	360
8	490
9	560
10	600
11	650
12	720
13	790
14	900
15	1040
16	1190
17	1390
18	1630
19	1930
20	2030
21	2410
22	2840
23	3340
24	3910
25	4590
26	5400
27	6290
28	7280
29	8360
30	8650
31	10090
32	11650
33	13330
34	15130
35	17050
36	19100
37	20060
38	22250
39	23820
40	24590
41	26990
42	29550
43	32280
44	35170
45	38230
46	41470
47	43390
48	46060
49	47930
50	49710
51	51390
52	54050
53	57890
54	61900
55	66100
56	67670
57	72070
58	76650
59	81430
60	86400
61	87750
62	92900
63	98240
64	103790
65	107160
66	110740
67	117380
68	124740
69	132830
70	135240
71	144440
72	154410
73	165170
74	176750
75	180730
76	194540
77	209800
78	226560
79	244860
80	256110
81	276360
82	309340
83	357670
84	422800
85	504960
86	603050
87	714590
88	835650
89	960790
90	1082930
91	1193370
92	1281630
93	1335420
94	1474650
95	1601260
96	1707760
97	1785670
98	2086240
99	2422020
100	2460510
101	2500050
102	2540650
103	2582340
104	2625130
105	2669060
106	2714140
107	2760390
108	2807840
109	2856500
110	2906410
111	2957570
112	3010010
113	3063760
114	3118830
115	3175250
116	3233040
117	3292220
118	3352800
119	3414820
120	3478300
121	3543250
122	3609700
123	3677670
124	3747170
125	3818250
126	3890900
127	3965160
128	4041050
129	4118580
130	4197790
131	4278690
132	4361300
133	4445650
134	4531750
135	4619640
136	4709320
137	4800830
138	4894170
139	4989390
140	5086480
141	5185490
142	5286430
143	5389310
144	5494180
145	5794350
146	6132610
147	6511830
148	6934930
149	7358030
150	7781130
151	8204230
152	8627330
153	9050430
154	9473530
155	9896630
156	10319730
157	10742830
158	11165930
159	11589030
160	12012130
161	12435230
162	12858330
163	13281430
164	13704530
165	14127630
166	14550730
167	14973830
168	15396930
169	15820030
170	16243130
171	16666230
172	17089330
173	17512430
174	17935530
175	18358630
176	18781730
177	19204830
178	19627930
179	20051030
180	20474130
181	20897230
182	21320330
183	21743430
184	22166530
185	22589630
186	23012730
187	23435830
188	23858930
189	24282030
190	24705130
191	25128230
192	25551330
193	25974430
194	26397530
195	26820630
196	27243730
197	27666830
198	28089930
199	28513030
200	28936130
201	29359230
202	29782330
203	30205430
204	30628530
205	31051630
206	31474730
207	31897830
208	32320930
209	32744030
210	33167130
211	33590230
212	34013330
213	34436430
214	34859530
215	35282630
216	35705730
217	36128830
218	36551930
219	36975030
220	37398130
221	37821230
222	38244330
223	38667430
224	39090530
225	39513630
226	39936730
227	40359830
228	40782930
229	41206030
230	41629130
231	42052230
232	42475330
233	42898430
234	43321530
235	43744630
236	44167730
237	44590830
238	45013930
239	45437030
240	45860130
241	46283230
242	46706330
243	47129430
244	47552530
245	47975630
246	48398730
247	48821830
248	49244930
249	49668030
250	50091130
251	50514230
252	50937330
253	51360430
254	51783530
255	0
